DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
14.28,10.28,8.72,8.28,0.00,0.00,16.06,0.00,0.00,0.00,0.00,0.00,11.39,8.06,5.56,4.81,6.31,0.00,0.00,7.65,
4.94,0.00,6.12,0.00,0.00,5.94,0.00,0.00,0.00,8.63,0.00,10.21,11.16,0.00,11.16,17.05,9.83,0.00,0.00,4.47,
5.30,0.00,4.10,0.00,6.50,0.00,4.10,0.00,0.00,8.10,0.00,4.50,6.50,5.30,0.00,0.00,0.00,0.00,0.00,4.44,
4.77,6.36,0.00,7.79,0.00,0.00,9.38,5.08,0.00,6.93,6.07,0.00,0.00,0.00,8.00,0.00,0.00,0.00,8.93,6.36,
7.45,0.00,5.27,0.00,4.73,0.00,4.50,0.00,0.00,0.00,6.50,0.00,4.55,5.27,0.00,6.18,0.00,0.00,9.09,0.00,
11.05,9.25,0.00,0.00,0.00,16.25,9.65,9.47,0.00,8.61,4.31,0.00,9.25,0.00,0.00,0.00,12.05,5.17,12.05,0.00,
5.83,9.05,0.00,18.05,0.00,7.89,0.00,11.05,0.00,18.05,3.88,5.79,0.00,7.05,16.25,0.00,13.25,0.00,0.00,9.65,
6.53,8.67,2.42,0.00,0.00,11.33,0.00,9.87,0.00,6.67,8.67,0.00,0.00,7.73,0.00,6.67,6.93,0.00,0.00,13.07,
4.36,8.67,0.00,13.07,0.00,0.00,6.67,0.00,9.87,0.00,4.42,0.00,0.00,0.00,0.00,5.36,13.07,0.00,6.67,7.07,
12.31,0.00,0.00,0.00,9.87,0.00,5.60,0.00,0.00,0.00,5.73,8.56,0.00,0.00,10.81,0.00,4.40,0.00,10.81,3.54,
3.54,0.00,8.56,8.56,0.00,12.31,0.00,7.81,0.00,0.00,6.53,0.00,0.00,0.00,7.31,2.62,0.00,0.00,0.00,14.06,
3.78,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,3.71,7.11,0.00,0.00,0.00,0.00,4.44,0.00,0.00,0.00,3.12,
4.62,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.62,0.00,2.00,0.00,5.14,0.00,3.12,
0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,10.36,4.64,7.50,9.87,8.67,0.00,6.07,6.67,0.00,0.00,13.07,8.67,
8.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.73,2.93,0.00,9.05,8.95,0.00,10.25,0.00,0.00,11.05,13.25,
5.50,11.33,6.53,0.00,0.00,0.00,2.92,0.00,0.00,13.07,4.36,11.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,8.93,
10.28,0.00,0.00,0.00,0.00,5.65,13.29,0.00,0.00,8.00,7.31,5.44,9.39,0.00,0.00,7.88,0.00,9.39,11.39,0.00,
0.00,0.00,0.00,7.07,0.00,6.36,7.73,9.87,0.00,13.07,6.53,0.00,0.00,9.87,11.33,4.62,7.73,13.07,0.00,6.67,
7.79,6.67,0.00,7.73,0.00,0.00,7.50,0.00,0.00,4.64,6.93,11.33,0.00,0.00,6.53,5.50,0.00,0.00,0.00,11.33,
13.07,9.87,0.00,0.00,0.00,0.00,11.33,6.50,0.00,0.00,6.67,0.00,0.00,7.07,7.50,13.07,7.73,8.67,5.08,0.00,
12.05,0.00,0.00,8.17,0.00,0.00,0.00,12.11,9.65,10.21,8.72,7.89,9.25,13.25,0.00,0.00,6.63,0.00,12.05,10.25,
9.05,12.05,8.32,13.25,0.00,6.63,11.17,9.25,0.00,14.65,5.79,0.00,0.00,10.21,5.72,0.00,0.00,0.00,0.00,9.65,
0.00,7.07,13.07,11.33,13.07,0.00,9.87,0.00,0.00,7.73,5.50,0.00,0.00,11.33,6.36,6.53,7.73,9.87,8.67,0.00,
3.92,0.00,0.00,0.00,0.00,7.73,9.87,0.00,0.00,0.00,0.00,7.50,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,4.44,0.00,3.56,0.00,0.00,4.62,0.00,0.00,0.00,5.56,0.00,5.56,0.00,2.38,7.11,
3.09,0.00,0.00,5.08,0.00,5.08,0.00,0.00,0.00,2.90,7.45,8.42,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,
3.08,0.00,0.00,0.00,0.00,0.00,4.15,0.00,0.00,0.00,0.00,9.87,0.00,0.00,1.50,0.00,7.07,0.00,0.00,0.00,
0.00,14.54,4.19,0.00,0.00,11.21,0.00,18.54,0.00,0.00,11.33,7.22,18.54,11.21,0.00,5.14,9.83,0.00,0.00,9.05,
7.31,0.00,12.31,14.06,0.00,7.81,0.00,9.87,0.00,7.31,6.53,5.60,7.81,0.00,8.56,12.31,9.56,0.00,0.00,10.81,
9.65,0.00,10.21,12.11,0.00,10.84,11.65,0.00,7.68,0.00,0.00,0.00,0.00,8.72,0.00,0.00,13.25,0.00,8.53,9.25,
10.21,17.05,0.00,11.16,0.00,9.47,0.00,5.31,0.00,9.47,6.39,6.00,0.00,9.39,0.00,8.63,8.63,0.00,0.00,12.32,
0.00,0.00,0.00,0.00,0.00,7.11,0.00,0.00,0.00,7.11,0.00,0.00,0.00,0.00,4.44,2.12,1.43,0.00,3.78,0.00,
6.07,8.67,0.00,0.00,0.00,7.73,0.00,8.67,6.67,8.79,6.67,9.87,0.00,0.00,7.07,5.75,0.00,0.00,0.00,0.00,
9.56,0.00,10.81,7.06,0.00,0.00,12.31,0.00,0.00,7.81,5.08,6.67,0.00,0.00,12.31,5.20,9.56,0.00,8.56,0.00,
7.07,4.91,0.00,12.07,0.00,9.87,0.00,7.73,0.00,8.67,0.00,0.00,0.00,0.00,0.00,0.00,7.73,0.00,6.36,11.33,
8.53,10.21,17.05,0.00,0.00,15.26,10.21,0.00,0.00,11.76,3.87,5.83,0.00,9.47,0.00,8.95,0.00,0.00,0.00,12.72,
8.59,0.00,7.81,8.19,0.00,0.00,0.00,8.28,0.00,8.72,11.39,10.47,0.00,6.47,0.00,12.72,14.28,0.00,0.00,8.06,
4.50,5.56,0.00,0.00,0.00,2.44,0.00,4.10,0.00,8.10,0.00,0.00,0.00,0.00,0.00,6.50,0.00,0.00,5.30,4.10,
4.36,6.53,5.69,0.00,0.00,13.07,3.45,0.00,0.00,0.00,0.00,4.93,0.00,0.00,0.00,8.67,0.00,0.00,0.00,0.00,
13.07,0.00,0.00,8.79,0.00,0.00,6.67,3.54,0.00,0.00,0.00,0.00,0.00,0.00,9.87,7.79,0.00,7.07,0.00,5.75,
9.41,0.00,7.53,0.00,0.00,9.39,0.00,0.00,0.00,8.72,3.33,0.00,13.29,11.65,0.00,0.00,9.39,0.00,11.39,6.12,
0.00,8.06,8.28,0.00,0.00,0.00,9.39,0.00,9.39,6.81,8.19,13.29,8.06,11.76,0.00,7.81,0.00,0.00,0.00,0.00,
7.50,0.00,0.00,4.28,0.00,0.00,8.29,18.23,0.00,0.00,0.00,0.00,0.00,13.54,0.00,5.55,11.54,0.00,0.00,0.00,
0.00,4.47,6.94,8.53,9.47,12.32,13.68,7.61,11.16,0.00,16.06,11.16,0.00,0.00,0.00,0.00,0.00,0.00,7.83,8.06,
0.00,12.04,16.35,13.58,0.00,0.00,10.80,14.35,0.00,6.38,0.00,8.54,0.00,14.40,0.00,7.79,6.05,0.00,0.00,22.19,
9.39,8.28,0.00,5.65,16.06,0.00,0.00,14.28,8.72,12.72,7.41,0.00,0.00,0.00,14.28,11.76,8.06,0.00,8.72,5.81,
12.07,0.00,7.73,0.00,0.00,7.73,8.67,0.00,0.00,7.07,5.50,2.58,0.00,0.00,0.00,0.00,5.36,0.00,11.33,0.00,
0.00,9.25,14.65,9.65,11.05,18.05,9.79,0.00,14.65,13.25,6.42,13.25,0.00,6.11,0.00,8.95,0.00,12.05,11.05,7.89,
0.00,11.33,0.00,0.00,0.00,9.87,8.67,0.00,0.00,0.00,6.07,7.73,0.00,7.07,6.67,5.08,8.67,0.00,0.00,3.85,
7.79,7.73,5.36,0.00,0.00,0.00,13.07,6.50,0.00,4.77,4.64,0.00,0.00,0.00,0.00,0.00,9.87,0.00,0.00,6.67,
6.27,0.00,0.00,0.00,0.00,8.56,6.00,0.00,0.00,7.31,5.47,7.81,0.00,7.06,12.31,8.79,0.00,8.56,0.00,14.06,
0.00,15.62,6.65,0.00,0.00,9.62,9.65,11.90,0.00,0.00,2.07,6.45,17.24,10.84,0.00,0.00,0.00,0.00,0.00,0.00,
18.05,4.83,9.25,9.65,0.00,0.00,6.72,0.00,0.00,0.00,5.83,14.65,9.65,0.00,18.05,7.50,12.05,0.00,0.00,16.25,
2.92,0.00,0.00,0.00,0.00,0.00,3.27,0.00,0.00,0.00,6.07,3.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
9.47,0.00,18.05,8.95,10.25,0.00,0.00,8.50,0.00,0.00,6.00,7.89,0.00,0.00,0.00,7.72,0.00,0.00,0.00,5.65,
0.00,0.00,8.42,0.00,0.00,0.00,4.18,0.00,0.00,8.42,0.00,0.00,0.00,10.08,10.08,6.08,3.30,0.00,7.08,7.08,
9.38,0.00,11.08,5.42,0.00,0.00,6.15,9.38,0.00,0.00,6.15,6.92,0.00,8.00,0.00,2.36,0.00,0.00,0.00,5.54,
11.05,13.58,0.00,9.25,0.00,7.05,8.53,0.00,14.65,0.00,4.31,12.05,18.05,9.58,0.00,0.00,6.11,0.00,0.00,0.00,
5.69,0.00,0.00,8.00,0.00,0.00,0.00,3.58,5.42,0.00,4.08,4.42,0.00,11.08,6.92,9.38,0.00,0.00,0.00,0.00,
10.47,15.06,12.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.62,9.41,0.00,0.00,8.00,15.06,8.27,0.00,0.00,6.19,
0.00,11.39,9.39,5.65,12.72,16.06,10.28,16.06,0.00,3.87,8.06,5.53,0.00,14.28,0.00,0.00,8.28,0.00,0.00,12.72,
4.36,9.87,0.00,0.00,0.00,0.00,9.87,1.64,0.00,0.00,0.00,0.00,0.00,6.36,6.36,6.67,0.00,0.00,0.00,8.67,
2.25,0.00,0.00,13.07,0.00,6.53,5.75,0.00,0.00,7.73,11.33,7.07,0.00,0.00,6.67,0.00,0.00,0.00,0.00,7.73,
0.00,0.00,7.50,9.87,0.00,0.00,4.15,0.00,0.00,7.79,6.92,4.21,0.00,0.00,0.00,0.00,7.73,0.00,6.53,0.00,
0.00,7.81,0.00,8.79,0.00,10.81,5.21,9.56,0.00,4.50,4.36,0.00,0.00,9.56,0.00,0.00,0.00,0.00,0.00,0.00,
6.36,0.00,4.64,11.33,0.00,7.73,0.00,4.21,0.00,8.67,0.00,0.00,0.00,0.00,0.00,6.53,0.00,0.00,6.07,4.46,
0.00,13.07,5.69,4.07,0.00,0.00,0.00,0.00,6.67,8.67,0.00,0.00,0.00,5.36,0.00,7.07,3.85,0.00,0.00,13.07,
8.72,0.00,8.59,6.94,0.00,0.00,8.28,0.00,0.00,8.19,8.94,5.56,0.00,5.76,8.72,0.00,0.00,0.00,8.28,0.00,
9.87,0.00,13.07,7.73,0.00,0.00,7.07,13.07,6.67,6.67,0.00,11.33,11.33,0.00,3.38,0.00,0.00,6.53,9.87,7.73,
0.00,0.00,5.06,9.65,18.05,0.00,16.25,7.68,7.05,0.00,0.00,6.63,0.00,0.00,10.21,0.00,8.94,0.00,13.25,13.68,
9.04,12.67,9.70,0.00,15.61,9.70,14.62,25.17,0.00,8.22,16.00,13.59,0.00,27.03,9.11,21.86,0.00,0.00,10.89,0.00,
12.05,9.05,7.88,0.00,8.32,7.28,4.71,0.00,0.00,18.05,9.58,0.00,9.65,11.05,0.00,0.00,0.00,0.00,0.00,0.00,
3.78,0.00,0.00,0.00,0.00,3.56,4.44,4.44,0.00,0.00,3.38,0.00,0.00,5.56,0.00,0.00,6.12,0.00,0.00,0.00,
9.25,12.05,9.05,0.00,13.25,0.00,11.16,5.17,0.00,11.05,16.25,9.05,11.05,0.00,8.63,10.25,9.65,16.25,18.05,13.25,
10.81,0.00,9.73,7.33,0.00,0.00,0.00,14.06,0.00,7.31,7.07,4.07,0.00,12.31,0.00,0.00,7.06,0.00,7.81,7.06,
3.62,3.12,0.00,0.00,0.00,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.78,2.62,0.00,0.00,0.00,0.00,
15.06,0.00,6.19,7.31,0.00,9.41,0.00,0.00,0.00,0.00,6.36,0.00,0.00,8.19,15.06,8.00,5.81,0.00,0.00,8.59,
12.95,6.00,0.00,0.00,0.00,0.00,17.24,7.25,15.62,13.05,0.00,6.95,14.19,14.19,9.90,8.05,0.00,0.00,6.42,12.95,
8.06,0.00,0.00,6.47,10.24,0.00,11.39,11.65,9.39,8.06,0.00,0.00,0.00,0.00,0.00,4.31,5.56,0.00,0.00,0.00,
0.00,0.00,5.06,9.65,0.00,0.00,16.25,7.68,7.05,0.00,0.00,6.63,0.00,0.00,10.21,0.00,9.06,0.00,13.25,13.68,
5.56,0.00,0.00,7.11,0.00,0.00,0.00,3.78,0.00,3.78,5.56,0.00,4.44,0.00,4.44,0.00,0.00,0.00,3.56,7.11,
0.00,7.65,11.76,9.41,0.00,3.87,10.47,13.29,0.00,0.00,10.47,8.00,0.00,0.00,7.31,6.31,8.00,0.00,15.06,15.06,
9.09,2.90,0.00,0.00,0.00,2.90,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,4.55,2.44,0.00,0.00,5.27,0.00,
8.19,0.00,16.06,5.94,0.00,0.00,0.00,6.94,0.00,8.28,10.28,8.72,0.00,10.24,0.00,12.72,6.47,0.00,0.00,14.28,
8.12,0.00,0.00,16.06,0.00,12.72,0.00,5.29,0.00,0.00,9.39,0.00,0.00,0.00,5.53,10.28,11.76,8.28,4.40,8.28,
5.21,4.93,3.25,0.00,0.00,0.00,0.00,9.87,0.00,0.00,0.00,0.00,0.00,8.67,0.00,3.82,0.00,0.00,0.00,0.00,
0.00,11.33,0.00,0.00,0.00,4.64,13.07,2.75,0.00,0.00,4.93,0.00,0.00,6.67,7.73,0.00,0.00,0.00,0.00,5.08,
12.31,7.07,0.00,7.06,7.81,0.00,0.00,10.81,0.00,10.36,5.54,0.00,0.00,8.40,8.56,0.00,0.00,0.00,0.00,0.00,
9.38,7.73,5.36,0.00,0.00,0.00,6.67,0.00,0.00,5.69,8.93,0.00,0.00,0.00,7.07,0.00,7.73,0.00,0.00,9.87,
6.36,13.07,6.53,0.00,0.00,0.00,0.00,9.87,8.67,0.00,0.00,0.00,7.73,6.50,0.00,5.79,7.73,9.87,6.67,11.33,
12.24,0.00,0.00,0.00,0.00,9.36,8.96,1.89,0.00,12.50,17.58,8.12,0.00,14.35,6.52,0.00,11.60,0.00,0.00,0.00,
9.65,6.63,9.25,0.00,8.95,6.59,5.79,0.00,12.05,0.00,4.28,18.05,14.65,0.00,9.25,14.65,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,11.86,0.00,7.33,8.45,12.77,0.00,6.85,13.86,8.32,11.14,0.00,10.59,13.86,9.52,0.00,18.23,11.14,
3.30,5.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,5.42,7.08,0.00,6.18,6.08,10.08,0.00,0.00,0.00,8.42,
10.25,11.05,13.25,14.65,12.05,9.25,13.25,9.65,15.26,0.00,4.24,16.25,0.00,8.95,0.00,18.05,6.63,0.00,0.00,0.00,
0.00,15.26,0.00,0.00,0.00,0.00,12.32,8.95,15.26,10.28,3.94,6.12,0.00,8.95,13.68,10.21,17.05,0.00,10.21,9.47,
9.65,0.00,5.37,0.00,0.00,11.90,14.19,17.24,11.05,14.65,9.05,10.38,15.62,5.26,0.00,9.62,0.00,0.00,0.00,11.75,
9.65,0.00,0.00,0.00,0.00,18.05,12.05,5.65,0.00,9.65,18.05,14.65,9.25,6.72,0.00,4.39,7.37,16.25,0.00,0.00,
13.07,0.00,4.31,6.67,0.00,0.00,7.07,0.00,9.87,0.00,7.73,7.07,0.00,11.33,0.00,5.69,0.00,0.00,8.79,0.00,
0.00,6.72,15.26,0.00,0.00,9.47,0.00,10.12,0.00,13.68,17.05,10.28,0.00,0.00,5.81,8.95,7.83,0.00,0.00,12.32,
11.05,0.00,0.00,0.00,0.00,9.62,5.58,1.87,0.00,12.95,0.00,6.25,0.00,10.38,6.39,0.00,0.00,0.00,0.00,0.00,
8.72,0.00,0.00,9.39,8.06,0.00,11.39,0.00,0.00,9.06,10.28,11.39,6.12,0.00,16.06,8.28,6.31,0.00,10.28,13.29,
8.18,18.83,8.04,20.03,24.43,20.03,20.41,17.77,0.00,13.25,18.83,6.12,0.00,14.03,16.03,0.00,14.43,14.03,0.00,14.25,
5.79,10.81,3.93,0.00,0.00,0.00,0.00,0.00,7.31,11.33,6.53,7.06,6.53,0.00,0.00,0.00,0.00,0.00,0.00,7.31,
0.00,0.00,6.08,10.08,0.00,0.00,0.00,6.08,0.00,8.42,7.08,5.42,5.08,3.82,0.00,0.00,0.00,0.00,4.55,7.08,
3.45,0.00,0.00,0.00,0.00,0.00,0.00,4.73,0.00,5.27,0.00,0.00,0.00,0.00,7.08,4.73,7.45,0.00,8.42,0.00,
0.00,0.00,5.42,0.00,0.00,0.00,0.00,10.08,3.45,3.82,6.08,0.00,10.08,7.08,3.82,0.00,7.08,0.00,0.00,0.00,
0.00,3.23,13.07,0.00,0.00,6.53,0.00,0.00,7.73,0.00,6.67,4.36,8.67,0.00,11.33,0.00,5.69,0.00,9.87,0.00,
7.06,0.00,7.65,0.00,0.00,0.00,12.72,0.00,0.00,9.31,4.15,8.59,0.00,0.00,0.00,8.28,0.00,0.00,8.72,0.00,
0.00,4.55,6.18,0.00,0.00,0.00,0.00,4.73,0.00,4.73,0.00,3.50,0.00,6.18,0.00,9.09,5.27,0.00,0.00,8.10,
5.56,7.11,3.56,0.00,0.00,0.00,0.00,0.00,4.44,3.78,0.00,0.00,0.00,7.11,0.00,0.00,5.56,0.00,3.78,4.44,
0.00,0.00,3.65,18.05,0.00,0.00,0.00,16.25,0.00,13.25,11.16,14.65,0.00,5.94,18.05,5.28,9.25,14.65,0.00,10.25,
7.37,0.00,0.00,9.25,0.00,0.00,6.39,7.83,15.06,0.00,12.05,0.00,0.00,0.00,10.28,16.25,6.00,0.00,0.00,0.00,
5.56,7.11,0.00,0.00,0.00,0.00,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,5.56,2.62,3.78,0.00,0.00,0.00,
0.00,3.12,0.00,0.00,0.00,0.00,0.00,4.62,0.00,4.62,6.12,0.00,0.00,0.00,0.00,6.12,0.00,0.00,1.50,0.00,
13.25,8.95,0.00,9.05,8.95,0.00,0.00,12.05,0.00,10.69,4.81,0.00,0.00,9.79,10.25,0.00,0.00,0.00,0.00,0.00,
5.96,12.04,12.96,0.00,0.00,0.00,0.00,7.04,0.00,21.20,5.04,6.88,22.19,0.00,16.35,24.04,8.72,0.00,24.04,10.16,
2.38,7.11,4.44,0.00,0.00,0.00,0.00,7.11,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.62,3.56,
0.00,0.00,3.60,7.53,0.00,0.00,8.59,5.19,0.00,9.87,0.00,14.06,0.00,0.00,10.47,4.81,6.69,0.00,0.00,0.00,
6.18,0.00,0.00,5.42,0.00,8.42,5.42,0.00,0.00,6.08,10.08,4.55,0.00,8.42,0.00,0.00,0.00,0.00,0.00,3.45,
21.04,8.38,8.59,16.50,0.00,6.48,11.30,0.00,0.00,7.86,9.23,11.91,10.87,9.90,0.00,16.09,0.00,0.00,0.00,12.70,
12.11,0.00,0.00,9.75,0.00,14.83,5.81,0.00,9.54,9.31,9.54,22.83,0.00,22.83,18.83,0.00,12.76,0.00,13.59,13.04,
0.00,0.00,0.00,0.00,0.00,3.56,4.44,4.44,0.00,0.00,1.71,0.00,0.00,5.56,0.00,0.00,6.12,0.00,0.00,0.00,
7.07,7.73,7.79,7.07,0.00,0.00,8.79,8.93,0.00,0.00,10.36,6.67,6.67,0.00,0.00,0.00,6.53,0.00,13.07,0.00,
6.67,7.50,7.79,0.00,0.00,0.00,7.07,0.00,6.36,6.53,0.00,8.79,9.87,4.36,0.00,0.00,0.00,0.00,0.00,8.67,
8.28,0.00,0.00,5.06,0.00,6.94,3.81,12.72,0.00,9.06,0.00,12.72,8.59,0.00,0.00,9.06,8.72,0.00,0.00,0.00,
10.24,0.00,8.72,0.00,5.65,0.00,0.00,6.19,11.39,9.39,14.28,0.00,0.00,16.06,0.00,0.00,5.53,8.28,10.28,5.76,
0.00,16.06,14.28,9.39,0.00,5.76,4.31,0.00,8.28,8.06,0.00,5.53,0.00,0.00,10.47,8.94,0.00,0.00,0.00,6.24,
1.70,6.92,6.15,11.08,0.00,6.92,9.38,0.00,0.00,0.00,0.00,4.42,0.00,11.08,0.00,0.00,0.00,0.00,0.00,9.38,
9.14,8.59,0.00,13.65,0.00,19.22,10.59,0.00,7.05,17.57,3.26,12.67,0.00,0.00,11.30,6.77,0.00,0.00,0.00,10.87,
16.06,8.28,8.72,0.00,0.00,0.00,10.24,0.00,0.00,14.28,4.44,8.28,0.00,9.06,0.00,7.65,8.06,0.00,12.72,7.06,
0.00,6.15,0.00,8.00,0.00,0.00,0.00,3.58,11.08,0.00,4.00,4.42,0.00,11.08,6.92,9.38,0.00,0.00,0.00,0.00,
11.33,6.50,13.07,7.73,0.00,0.00,0.00,10.36,0.00,6.93,6.53,0.00,0.00,8.67,6.67,9.87,9.87,6.67,0.00,0.00,
11.33,0.00,0.00,0.00,0.00,7.79,7.07,0.00,0.00,0.00,7.79,4.42,0.00,0.00,7.07,7.73,5.79,0.00,0.00,9.87,
8.06,0.00,0.00,5.29,0.00,0.00,0.00,6.00,0.00,9.39,4.21,0.00,0.00,14.28,0.00,7.31,6.47,0.00,0.00,16.06,
0.00,11.39,0.00,5.65,0.00,14.28,8.72,0.00,0.00,0.00,3.87,10.69,12.72,8.00,0.00,9.39,0.00,0.00,9.39,8.06,
0.00,0.00,5.36,11.33,0.00,0.00,7.73,0.00,0.00,0.00,6.36,0.00,0.00,7.73,4.64,6.67,0.00,0.00,5.69,4.79,
8.38,8.67,11.30,17.57,0.00,10.61,5.05,21.04,17.57,0.00,8.59,10.87,0.00,0.00,0.00,16.09,11.41,0.00,7.90,0.00,
9.38,0.00,0.00,0.00,0.00,0.00,0.00,3.09,0.00,5.75,6.36,0.00,6.07,0.00,0.00,0.00,0.00,0.00,0.00,4.75,
1.70,0.00,6.15,11.08,0.00,6.92,9.38,0.00,0.00,0.00,0.00,2.73,0.00,11.08,0.00,0.00,0.00,0.00,0.00,9.38,
