QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3
1.4712,0.3678,1.1034,0.0,0.0,0.3678,0.7356,0.3678,0.0,0.3678,1.1034,0.0,0.0,0.0,0.0,0.3678,1.1034,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.2263,0.2338,0.1722,0.2263,0.2338,0.1722
0.0,0.0,0.0,0.4012,0.0,0.0,0.0,0.4012,0.0,1.2035,1.6047,0.8024,0.0,0.4012,0.0,1.2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2508,0.1733,0.1747,0.2508,0.1733,0.1747
0.0,0.0,0.0,0.4012,0.0,0.0,0.4012,0.8024,0.0,0.8024,0.4012,0.4012,0.0,0.0,0.4012,1.2036,0.8024,0.4012,0.4012,0.4012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2506,0.2,0.1481,0.2506,0.2,0.1481
0.5687,0.0,0.5687,0.5687,0.0,1.1375,0.0,1.1375,0.0,0.0,0.5687,0.0,0.0,0.0,0.0,1.1375,0.5687,0.0,0.5687,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1248,0.1596,0.1469,0.1248,0.1596,0.1469
2.1733,0.0,0.0,0.0,0.0,1.0867,0.5433,1.0867,0.0,0.5433,0.0,1.0867,0.0,0.0,0.5433,0.5433,0.0,0.0,0.0,0.5433,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2009,0.1218,0.134,0.2009,0.1218,0.134
0.0,0.0,0.7068,0.7068,0.0,0.7068,1.0602,1.7669,0.0,0.0,0.3534,0.3534,0.0,0.0,0.7068,0.0,0.3534,0.0,0.0,0.3534,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.2415,0.2112,0.1939,0.2415,0.2112,0.1939
0.0,0.0,1.6663,0.0,0.0,0.0,0.0,0.5554,0.0,1.1109,2.2217,0.0,0.5554,1.6663,0.0,2.2217,0.0,0.0,0.0,2.2217,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.1731,0.1521,0.1194,0.1731,0.1521,0.1194
0.358,0.0,1.0741,0.0,0.0,0.358,0.358,0.358,0.0,0.358,0.0,1.0741,0.358,0.358,0.0,0.358,1.0741,0.0,0.0,1.0741,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.2038,0.2427,0.1955,0.2038,0.2427,0.1955
0.9452,0.0,0.9452,0.0,0.0,0.9452,0.0,0.0,0.4726,0.4726,1.4177,0.4726,0.0,0.0,0.0,0.0,0.0,0.4726,0.4726,0.4726,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2037,0.1189,0.2048,0.2037,0.1189,0.2048
0.0,0.3729,0.0,0.7458,0.0,1.1187,0.3729,0.0,0.0,0.0,0.7458,1.1187,0.0,0.0,0.0,0.3729,1.1187,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.1986,0.2515,0.177,0.1986,0.2515,0.177
3.0176,0.5029,0.5029,0.5029,0.0,0.0,0.0,1.0059,0.0,0.0,1.0059,0.0,0.0,0.0,1.0059,1.5088,1.0059,0.0,0.0,2.0117,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.157,0.1934,0.1467,0.157,0.1934,0.1467
0.958,0.0,0.479,0.0,0.0,0.0,0.479,0.479,0.958,0.479,1.437,0.0,0.0,0.0,0.479,0.958,0.0,0.0,0.0,0.479,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1946,0.1299,0.1965,0.1946,0.1299,0.1965
0.3373,0.3373,0.0,0.3373,0.0,0.0,0.3373,0.6747,0.3373,1.012,0.0,0.3373,0.0,0.6747,0.3373,1.012,0.0,0.0,0.0,0.3373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2116,0.228,0.223,0.2116,0.228,0.223
0.0,0.0,1.1306,0.0,1.1306,1.1306,0.5653,0.0,0.0,0.5653,0.5653,0.0,0.5653,0.5653,1.6959,0.0,0.5653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.1557,0.1115,0.1675,0.1557,0.1115,0.1675
0.3958,0.0,0.0,1.1875,0.0,0.0,0.0,0.0,0.0,1.5834,0.3958,0.3958,0.0,0.0,1.5834,0.3958,0.3958,0.0,0.3958,1.1875,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.2366,0.2134,0.1542,0.2366,0.2134,0.1542
1.0947,0.0,0.0,0.0,0.0,0.0,0.0,1.0947,0.5473,0.5473,2.7367,0.0,1.0947,0.0,0.0,0.5473,2.1894,0.5473,0.0,0.5473,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.1775,0.1234,0.1518,0.1775,0.1234,0.1518
0.0,1.0613,0.3538,0.3538,0.0,0.0,1.0613,0.0,0.0,0.0,0.7075,0.3538,0.3538,0.0,0.0,0.7075,0.0,0.0,0.0,0.3538,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2005,0.214,0.2317,0.2005,0.214,0.2317
0.0,0.0,0.5985,0.2993,0.0,0.2993,1.1971,0.5985,0.2993,0.2993,0.5985,0.5985,0.0,0.0,0.2993,0.5985,0.0,0.0,0.5985,0.2993,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,0.224,0.2487,0.228,0.224,0.2487
1.1252,0.2813,0.2813,0.5626,0.0,0.2813,1.1252,0.0,0.0,0.2813,0.5626,0.5626,0.0,0.2813,0.2813,0.0,0.2813,0.0,0.2813,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3013,0.2721,0.1453,0.3013,0.2721,0.1453
0.3976,0.3976,0.3976,0.3976,0.0,0.0,0.3976,0.7952,0.0,0.7952,0.3976,0.0,0.0,0.0,0.3976,0.3976,0.3976,0.0,0.3976,0.3976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2153,0.1954,0.1917,0.2153,0.1954,0.1917
0.0,0.739,0.0,0.3695,0.3695,0.3695,0.3695,0.3695,0.3695,0.3695,1.8474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1885,0.2289,0.2131,0.1885,0.2289,0.2131
1.1862,0.3954,1.1862,0.0,0.0,0.0,0.0,0.0,0.3954,0.7908,0.7908,0.3954,0.7908,0.0,0.0,0.0,0.0,0.0,0.0,0.3954,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.2105,0.1961,0.198,0.2105,0.1961
0.3937,0.0,0.3937,0.3937,0.0,0.3937,0.0,0.3937,0.0,0.0,0.3937,0.7875,0.3937,1.1812,0.0,0.0,0.0,0.3937,0.3937,0.3937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.2401,0.1786,0.1875,0.2401,0.1786,0.1875
0.0,0.0,0.391,0.782,0.0,0.0,0.391,0.782,0.0,0.391,0.0,0.391,0.0,0.782,0.0,0.0,0.782,0.0,0.782,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2174,0.1979,0.1938,0.2174,0.1979,0.1938
0.4596,0.0,0.4596,0.9192,0.0,0.0,0.0,0.9192,0.0,0.4596,0.4596,0.0,0.4596,0.0,0.4596,0.4596,1.3787,0.0,0.0,1.8383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.1554,0.1829,0.2021,0.1554,0.1829,0.2021
0.3332,0.3332,0.3332,0.0,0.0,0.0,0.3332,0.3332,0.3332,0.6663,0.9995,1.3327,0.0,0.3332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2714,0.23,0.1654,0.2714,0.23,0.1654
0.44,0.0,0.44,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.88,1.32,0.0,0.0,0.44,0.0,0.88,0.0,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.2266,0.2024,0.1311,0.2266,0.2024,0.1311
0.4658,0.0,0.9316,0.0,0.4658,0.9316,0.4658,0.4658,0.0,0.9316,0.9316,0.4658,0.4658,0.0,0.0,0.0,1.3973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.2338,0.1128,0.1876,0.2338,0.1128,0.1876
0.0,0.4737,1.421,0.0,0.0,0.0,0.0,0.4737,0.0,0.4737,1.421,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1911,0.1798,0.1554,0.1911,0.1798,0.1554
0.3671,0.0,0.3671,0.7342,0.3671,0.0,0.3671,1.4683,0.0,0.3671,0.3671,0.3671,0.3671,0.0,0.0,1.1012,0.0,0.3671,0.0,0.7342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2639,0.2072,0.1618,0.2639,0.2072,0.1618
0.0,0.9987,0.3329,0.0,0.0,0.0,0.3329,0.6658,0.3329,0.6658,0.0,0.0,0.0,0.0,0.0,0.0,1.6645,0.0,0.3329,0.6658,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0001,0.2353,0.2781,0.1537,0.2353,0.2781,0.1537
1.1397,0.0,0.0,0.3799,0.0,0.3799,1.5196,0.0,0.0,0.0,0.0,1.5196,0.0,0.0,0.0,0.0,0.3799,0.0,0.0,0.3799,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2554,0.1298,0.2349,0.2554,0.1298,0.2349
0.9025,0.4513,0.0,0.0,0.0,0.4513,0.0,0.4513,0.4513,0.9025,0.4513,0.4513,0.0,0.0,0.4513,1.805,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1652,0.2147,0.1688,0.1652,0.2147,0.1688
1.0715,0.5358,0.0,0.0,0.0,0.0,0.5358,0.0,0.0,0.0,1.6073,0.0,0.0,0.0,0.5358,0.0,0.0,0.0,0.0,1.6073,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.1475,0.1558,0.1609,0.1475,0.1558,0.1609
0.9667,0.4833,1.9334,0.0,0.0,0.0,0.0,0.4833,0.0,0.0,0.0,0.4833,0.0,0.4833,0.0,0.4833,0.9667,0.0,0.0,0.9667,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.1545,0.1715,0.1907,0.1545,0.1715,0.1907
0.0,0.635,0.0,0.3175,0.0,0.3175,0.3175,0.635,0.0,0.9525,0.3175,0.3175,0.3175,0.3175,0.3175,0.3175,0.9525,0.0,0.0,0.3175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.2547,0.2365,0.1914,0.2547,0.2365,0.1914
0.0,0.0,0.4975,0.0,0.0,0.4975,0.0,0.995,0.995,0.995,0.0,0.0,0.0,0.4975,1.4925,0.995,0.0,0.0,0.0,0.4975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.159,0.159,0.1845,0.159,0.159,0.1845
0.0,0.3956,0.3956,0.3956,0.3956,0.0,0.3956,0.7912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7912,0.3956,0.0,1.5824,0.3956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.1547,0.2283,0.2214,0.1547,0.2283,0.2214
1.8245,0.0,0.0,0.3649,0.0,0.0,1.0947,0.0,0.0,0.0,0.3649,0.7298,0.3649,0.0,0.0,0.3649,0.0,0.0,0.0,0.3649,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1719,0.2579,0.2053,0.1719,0.2579,0.2053
0.9311,0.6207,0.0,0.0,0.3104,0.0,0.3104,0.6207,0.3104,0.0,0.6207,0.3104,0.0,0.9311,0.6207,0.3104,0.0,0.0,0.0,0.3104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2233,0.2308,0.2355,0.2233,0.2308,0.2355
2.0362,0.6787,0.0,0.6787,0.0,0.6787,0.3394,0.3394,0.0,0.0,1.0181,0.3394,0.0,0.0,1.0181,0.3394,0.0,0.0,0.0,0.6787,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.2101,0.2469,0.2036,0.2101,0.2469,0.2036
0.3378,0.0,0.0,1.0133,0.0,0.0,0.0,1.0133,0.0,0.3378,0.3378,0.6756,0.0,0.0,0.6756,0.6756,1.0133,0.0,0.3378,0.3378,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.2164,0.2216,0.2242,0.2164,0.2216,0.2242
1.3507,0.0,0.0,0.3377,0.3377,0.3377,0.3377,0.6754,0.0,0.3377,0.3377,0.6754,0.0,0.0,0.3377,0.3377,0.3377,0.0,0.6754,0.3377,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2439,0.261,0.1575,0.2439,0.261,0.1575
0.4876,0.4876,0.9751,0.0,0.0,0.4876,0.0,0.0,0.0,0.4876,0.4876,0.0,0.0,0.4876,0.4876,0.9751,0.9751,0.0,0.4876,0.4876,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.1494,0.1841,0.179,0.1494,0.1841,0.179
0.0,0.3632,0.0,0.3632,0.0,0.0,0.3632,0.7263,0.0,0.0,0.3632,0.7263,0.3632,0.3632,0.3632,0.3632,0.0,0.3632,0.7263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.2259,0.1727,0.2383,0.2259,0.1727,0.2383
1.1581,1.1581,0.7721,0.0,0.0,0.0,0.7721,0.386,0.0,0.386,0.0,0.0,0.0,0.0,0.0,0.0,0.386,0.0,0.0,0.386,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2334,0.165,0.2156,0.2334,0.165,0.2156
0.3667,0.7334,0.3667,0.0,0.0,1.4669,0.3667,0.3667,0.0,0.0,0.7334,0.3667,0.7334,0.0,0.0,0.0,0.0,0.0,0.3667,0.3667,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2079,0.2201,0.2052,0.2079,0.2201,0.2052
0.0,0.0,0.0,0.7524,0.3762,0.7524,0.7524,0.0,0.3762,1.1287,0.0,0.0,0.0,0.3762,0.0,0.0,0.0,0.0,0.3762,0.7524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2205,0.1888,0.2145,0.2205,0.1888,0.2145
0.6615,0.0,0.0,0.6615,0.0,0.6615,0.0,0.6615,0.0,0.0,0.6615,0.0,0.0,0.0,1.3231,1.3231,0.6615,0.0,0.0,1.3231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.126,0.1083,0.1041,0.126,0.1083,0.1041
1.3518,0.4506,0.0,0.0,0.0,0.0,0.0,0.9012,0.0,0.0,0.4506,0.4506,0.0,0.4506,0.4506,1.3518,0.4506,0.0,0.0,0.4506,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.184,0.1981,0.1673,0.184,0.1981,0.1673
0.0,0.4362,0.4362,0.4362,0.0,0.4362,0.0,0.4362,0.0,0.0,0.4362,0.4362,0.0,0.8724,0.4362,0.4362,0.0,0.0,0.4362,0.4362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.1744,0.2234,0.166,0.1744,0.2234,0.166
0.4329,0.0,0.4329,0.0,0.0,0.4329,0.0,0.4329,0.0,1.7318,0.4329,0.8659,0.4329,0.4329,0.0,0.4329,0.0,0.0,0.4329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1969,0.1839,0.1862,0.1969,0.1839,0.1862
