,DDE_HD,DDE_DD,DDE_QK,DDE_QD,DDE_VM,DDE_WV,DDE_MK,DDE_MD,DDE_GP,DDE_DN,DDE_AI,DDE_AH,DDE_SS,DDE_TT,CTDC_secondarystruct.G3,QSO3_SC_M,CTDD_hydrophobicity_CASG920101.3.residue75,DDR_N,CTDD_hydrophobicity_CASG920101.3.residue0,CTDC_secondarystruct.G1,DDE_YL,DDE_VD,MSW__27,Z3__7,CKSAAGP_uncharger.uncharger.gap1,CKSAAP_TS.gap3,QSO3_SC_L,CKSAAP_IY.gap2,DDE_DQ,DDE_PS,MSW__7,DDE_LI,CTDC_hydrophobicity_ENGD860101.G3,CKSAAP_NG.gap1,AAC_K,DDE_HE,PAAC_Xc1.R,CTDD_polarity.2.residue50,CTDD_polarity.2.residue0,CTriad_g6.g1.g1,CTriad_g4.g3.g1,Z5__26,CKSAAP_AL.gap1,DDE_DP,CKSAAP_VS.gap2,NMBroto_CHAM810101.lag2,Z3__21,CTriad_g6.g3.g2,GTPC_postivecharger.alphaticr.aromatic,CKSAAGP_alphaticr.aromatic.gap4,Geary_CHAM820102.lag3,Z3__27,Z5__46,DDE_EK,CKSAAP_HR.gap3,Geary_CHAM820101.lag3,TM_tend,formula_H,CTDT_hydrophobicity_PONP930101.Tr1221,MSW__16,MSW__8,NMBroto_CIDH920105.lag2,Z5__44,DDE_GL,CTDD_hydrophobicity_FASG890101.1.residue0,CKSAAP_ET.gap3,OVP_Hydrophobic_N4,DDE_SL,DDE_PP,Charge_phys,y
seq12|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,1.26488,1.01638,0.52198,0.78433,-0.93378,-1.5276,-0.25519,3.0803,0.37465,-1.42027,0.9402,-0.22454,-0.9666,-0.1838,-0.19234,-0.27867,1.08287,-0.29244,-0.29911,-0.19169,0.42525,-0.13857,-0.75649,1.31375,-0.5874,-0.28071,-0.21525,1.34638,-0.30461,-0.21571,-0.2232,1.45385,-0.3288,-0.23907,-0.24428,0.66317,-0.20238,-1.41377,0.69484,-0.28176,-0.10657,-1.6213,0.26923,0.10611,0.62326,-0.62772,-0.7994,-0.09349,-1.27035,-0.31883,0.05573,-0.202,0.73019,-0.35722,-0.18643,-0.38089,0
seq13|0|negative,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,-0.12167,-0.14589,-0.13098,-0.23533,-0.19477,-0.26091,-0.16009,-0.24449,-0.2313,-0.07803,-0.51986,0.73603,2.00805,-0.91246,-2.12789,-0.24192,3.27916,1.58629,0.45864,2.45853,3.61913,-0.24546,-0.1838,-0.18672,-0.25291,0.63299,-0.27606,0.84196,-0.19169,-1.01935,-0.13034,-0.75649,0.21696,-0.21535,-0.28071,2.47062,-0.51782,-0.30461,4.13911,3.37545,-0.51325,1.66556,-0.23907,-0.24428,-0.59064,-2.22347,-0.63519,0.97896,-0.27826,-0.10657,0.87398,-0.21554,0.02183,-1.51588,2.05728,-0.63404,0.73759,0.87685,-0.2974,1.19046,-0.202,0.73019,2.95364,-0.17406,-0.02212,0
seq14|0|negative,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,-1.17097,0.66319,-0.86983,-0.62717,-0.22045,-0.24832,0.40221,-1.16661,1.6076,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-0.07696,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,-0.75649,-1.08732,-0.40137,-0.28071,-0.21525,0.24565,-0.30461,-0.19193,-0.2232,-0.48068,0.29313,-0.23907,-0.24428,-0.59064,-0.98213,0.32763,0.90355,-0.2726,-0.10657,0.49553,0.31548,-1.0738,0.22599,-0.36293,-1.16248,-0.53275,0.82771,-0.26272,1.25721,-0.202,0.73019,-0.27646,3.10616,-0.75314,0
seq15|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,6.92671,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.48512,2.7093,-0.70395,0.78433,-0.35822,0.49838,-0.25519,-0.26769,1.3289,-0.19619,0.36179,-0.22454,-0.9666,-0.1838,-0.19234,-0.27867,0.94013,-0.29244,-0.29911,-0.19169,-1.01935,-0.13857,-0.75649,0.24661,-0.5874,1.21521,-0.21525,0.32147,-0.30461,-0.21571,-0.2232,-0.22871,0.63351,-0.23907,-0.24428,-0.59064,-0.90258,-0.34774,-1.67062,-0.28176,-0.10657,0.72502,-1.02166,-0.02031,1.05109,-0.007,-0.28125,1.33573,-0.77893,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.03758,0
seq16|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,2.68049,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.875,-0.51986,0.87225,-0.92396,0.21734,-1.5276,-0.25519,3.0803,0.17344,0.01292,2.09702,-0.22454,-0.43213,-0.1838,-0.19234,-0.27867,0.24296,-0.29244,-0.29911,-0.19169,-1.01935,-0.13857,1.32691,-0.02018,-0.5874,-0.28071,-0.21525,1.00733,-0.30461,-0.21571,-0.2232,0.69563,-0.49936,-0.23907,-0.24428,-0.59064,-0.96521,-3.37897,1.92418,-0.28176,-0.10657,0.82219,-0.86022,0.65392,1.47892,0.28252,-0.10296,-0.49193,0.13886,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.7564,0
seq17|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.29463,-0.51986,0.87225,-0.92396,-0.55007,0.16072,-0.25519,-0.26769,-0.49533,-0.81086,-0.79504,-0.22454,-0.5179,-0.1838,-0.19234,-0.27867,0.41626,-0.29244,0.11168,-0.19169,-0.29705,-0.13857,0.24923,-0.55375,-0.5874,-0.28071,-0.21525,0.66176,-0.30461,-0.21571,-0.2232,-1.48524,0.22704,-0.23907,-0.24428,-0.59064,0.92292,-0.25524,-0.38365,-0.28176,-0.10657,0.47311,1.24759,1.07532,1.05109,-0.07848,1.02637,0.00954,0.04546,-0.31883,-0.84538,-0.202,-1.36951,-0.35722,-0.18643,-0.95313,0
seq18|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.875,-0.51986,-1.05421,2.08402,-0.74193,-1.18994,-0.25519,-0.26769,1.80206,-0.91975,-0.79504,-0.22454,-0.38884,-0.1838,-0.19234,-0.27867,0.0759,-0.29244,-0.70989,-0.19169,-0.29705,-0.13857,-0.75649,0.78018,-0.02932,-0.28071,-0.21525,3.05408,-0.30461,-0.21571,-0.2232,1.20006,0.34846,-0.23907,-0.24428,0.66317,-0.94013,1.03428,-0.74528,-0.28176,-0.10657,0.16487,-1.03302,-0.14673,0.62326,-0.88069,1.24237,0.08534,1.10999,2.91497,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.19032,0
seq19|0|negative,-0.14053,3.76817,-0.22663,5.14224,-0.11419,-0.1259,-0.1477,-0.13296,-0.24189,3.60561,-0.26701,-0.16713,-0.25589,-0.23897,1.03916,-0.51986,0.62338,1.60562,0.48998,-0.74564,-0.24865,-0.26404,-0.0141,0.95933,-0.1826,-0.22454,-0.39014,4.4054,-0.18957,-0.26597,0.0694,-0.28436,-0.19101,-0.19169,-0.25904,-0.13451,-0.75649,0.6538,1.7918,-0.28071,-0.21525,-1.6504,-0.30461,-0.21123,-0.2232,0.02088,1.45638,-0.23907,-0.24428,0.75273,0.64808,-0.81807,0.03866,-0.28003,-0.10657,-1.62398,-1.40372,0.65392,-1.51588,2.69984,-0.10931,-0.5106,0.86643,-0.30826,-0.82957,-0.202,-1.36951,-0.34201,-0.18033,0.26693,0
seq20|0|negative,-0.14425,3.66008,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,-0.87908,-0.92396,-0.55007,-0.85228,-0.25519,-0.26769,0.3979,-0.15835,-0.21662,-0.22454,-0.39795,-0.1838,-0.19234,-0.27867,-1.82451,-0.29244,0.11168,-0.19169,0.42525,-0.13857,-0.75649,0.51339,0.24972,-0.28071,-0.21525,-0.00071,-0.30461,-0.21571,2.95208,-0.95208,1.01822,-0.23907,-0.24428,-0.59064,1.46427,-0.21945,-0.24976,-0.28176,-0.10657,0.64392,0.71711,1.03318,-0.2324,0.70792,-1.19928,0.05265,-0.31745,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.19584,0
seq21|0|negative,6.67382,7.52761,-0.22883,4.99754,-0.11946,-0.13001,-0.14945,-0.13489,2.68049,10.90427,-0.27295,-0.17397,-0.26697,-0.24643,3.99402,-0.51986,-1.40448,0.61596,-1.12564,-1.86527,-0.25519,-0.26769,3.07126,-0.2444,1.51861,-0.22454,-0.43343,-0.1838,-0.19234,-0.27867,0.16001,-0.29244,-1.94224,-0.19169,-1.01935,-0.13857,-0.75649,-0.02018,-0.02932,-0.28071,-0.21525,-0.80027,-0.30461,8.0056,-0.2232,-0.68581,2.18267,-0.23907,-0.24428,-0.59064,-0.1979,1.77594,-0.01585,-0.28176,-0.10657,-1.15067,-0.79164,-0.31529,0.62326,2.04733,1.38509,1.51907,0.48485,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.8173,0
seq22|0|negative,-0.11095,4.89437,-0.2091,-0.15482,-0.07225,-0.09315,-0.13369,-0.11764,-0.19106,-0.18079,-0.21972,-0.11264,-0.16763,-0.17958,2.95434,-0.51986,-1.40448,-0.92396,-1.12564,-0.62717,-0.19653,-0.23498,0.93617,-0.98067,-0.79504,-0.22454,0.49603,-0.1838,-0.16751,-0.16481,0.17978,-0.22001,-0.98375,-0.19169,1.38832,-0.1022,-0.75649,-0.37589,0.24972,-0.28071,-0.21525,-2.44208,-0.30461,-0.17555,-0.2232,-2.28215,0.9606,2.22314,-0.24428,-0.59064,-1.19546,0.69782,1.42647,-0.2663,-0.10657,0.45994,1.32245,-1.4952,-1.51588,1.82376,1.18095,1.02989,0.71245,-0.22407,-0.64513,-0.202,-1.36951,-0.22085,-0.13176,3.23783,0
seq23|0|negative,6.67382,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,3.60414,-0.51986,-1.40448,-0.92396,-1.12564,-1.18994,-0.25519,-0.26769,3.51536,-3.25541,-0.79504,-0.22454,-0.4375,-0.1838,-0.19234,-0.27867,0.70526,-0.29244,-1.94224,-0.19169,-1.01935,-0.13857,-0.75649,0.51339,-0.5874,1.21521,-0.21525,3.01438,-0.30461,3.89495,-0.2232,5.13512,0.35469,-0.23907,-0.24428,-0.59064,-1.49228,0.83116,-1.54004,-0.28176,-0.10657,0.89469,-0.33693,-1.0738,1.47892,-0.39742,1.6323,1.68025,-0.95702,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,0.39564,0
seq24|0|negative,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,1.25626,-0.70395,-0.92396,-0.35822,0.72349,-0.22045,-0.24832,-0.38856,0.27126,0.00584,-0.22454,-0.25441,-0.1838,-0.17764,-0.21124,-1.01755,-0.24955,-0.16218,-0.19169,-0.05628,-0.11703,-0.75649,1.40267,1.45891,-0.28071,-0.21525,-0.41354,-0.30461,-0.19193,-0.2232,0.59569,0.83105,-0.23907,-0.24428,-0.59064,-0.70182,-0.3959,-0.84539,-0.2726,-0.10657,0.4019,-0.15222,-0.61027,0.80661,0.70106,-1.20374,0.16291,-0.59022,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,0.35851,0
seq25|0|negative,-0.11095,-0.18856,-0.2091,-0.15482,-0.07225,-0.09315,-0.13369,-0.11764,-0.19106,-0.18079,-0.21972,-0.11264,-0.16763,-0.17958,-0.29463,-0.51986,-1.40448,0.80486,-1.12564,1.06115,5.06597,-0.23498,-0.06535,1.76835,-0.79504,-0.22454,2.20148,-0.1838,-0.16751,-0.16481,1.17466,-0.22001,1.07017,-0.19169,-1.01935,-0.1022,-0.75649,-0.82053,0.24972,-0.28071,-0.21525,0.2501,4.25668,-0.17555,-0.2232,-1.25398,1.01547,-0.23907,-0.24428,2.0961,0.05172,-0.58403,-1.26822,-0.2663,-0.10657,-1.12038,0.10618,-1.45306,-0.77691,-0.55388,-1.27884,0.21459,-0.32887,-0.22407,-0.64513,-0.202,0.73019,-0.22085,-0.13176,0.97005,0
seq26|0|negative,-0.15139,-0.2115,-0.23306,-0.18553,-0.12959,-0.13792,5.98908,-0.13859,-0.26055,3.31765,-0.28438,-0.18713,-0.28828,-0.26077,-0.47185,0.61984,0.9837,2.81907,-0.42798,0.19141,-0.26778,2.90987,-0.63491,0.6977,-0.79504,-0.22454,0.40456,3.68079,-0.19766,-0.3031,0.65284,-0.30799,1.00793,-0.19169,0.29392,-0.14637,-0.75649,0.75592,1.89861,-0.28071,-0.21525,-1.50425,-0.30461,-0.22432,-0.2232,0.72021,0.81912,-0.23907,-0.24428,-0.59064,1.37089,0.56835,-0.29351,-0.28507,-0.10657,-0.16069,2.71269,2.5502,-1.51588,1.38257,1.58462,-1.41887,0.71408,-0.33917,-0.87268,-0.202,0.73019,-0.38649,-0.19816,-1.02138,0
seq27|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,6.30763,-0.13489,-0.24827,3.50218,-0.27295,-0.17397,-0.26697,-0.24643,1.65475,0.62471,-0.00342,0.43323,-0.35822,-0.85228,-0.25519,-0.26769,0.34069,0.02016,-0.79504,-0.22454,-0.9666,-0.1838,-0.19234,-0.27867,0.9371,-0.29244,-1.12067,-0.19169,-0.29705,-0.13857,1.27259,-0.55375,-0.30836,-0.28071,-0.21525,0.28855,-0.30461,-0.21571,-0.2232,-0.2326,-0.63807,-0.23907,-0.24428,-0.59064,-1.07528,0.1967,1.38229,-0.28176,-0.10657,1.39352,0.37816,0.82248,-0.2324,0.49893,0.57046,-1.43356,1.1748,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,0.43117,0
seq28|0|negative,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,4.12343,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,0.69712,0.61596,1.17662,0.72349,-0.22045,-0.24832,-1.39438,0.30892,-0.79504,-0.22454,0.21789,-0.1838,-0.17764,-0.21124,0.29149,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,0.28287,-0.7316,0.34274,-0.28071,5.1565,-0.86618,3.20408,-0.19193,-0.2232,-0.38104,-0.92377,-0.23907,-0.24428,1.29008,-1.19259,-0.24231,0.37325,3.41445,-0.10657,0.35424,-0.56837,-0.06245,-0.93526,-1.26704,-0.00955,-1.46942,1.94483,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,-0.18814,0
seq29|0|negative,-0.14425,11.39513,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,1.99302,-0.24643,3.21426,-0.51986,-1.40448,-0.92396,-1.12564,-1.18994,-0.25519,-0.26769,3.04157,0.02396,-0.21662,-0.22454,2.28921,-0.1838,-0.19234,-0.27867,0.04458,-0.29244,-0.70989,-0.19169,-1.01935,-0.13857,-0.75649,0.78018,-0.5874,-0.28071,-0.21525,0.44881,-0.30461,3.89495,-0.2232,0.29027,1.11959,-0.23907,-0.24428,-0.59064,-1.26395,1.60719,-0.55155,-0.28176,-0.10657,-0.92197,-0.88729,-0.14673,1.05109,1.28388,0.23401,1.33328,-0.48799,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.94376,0
seq30|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,2.68049,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,2.43451,-0.51986,-1.40448,1.5625,-1.12564,-0.51461,-0.25519,-0.26769,1.49561,-0.56175,0.36179,-0.22454,0.24556,-0.1838,-0.19234,-0.27867,0.70179,-0.29244,-1.12067,3.82133,-1.01935,-0.13857,0.4377,1.58053,-0.5874,-0.28071,-0.21525,1.12035,-0.30461,-0.21571,-0.2232,2.24503,-0.00227,-0.23907,-0.24428,-0.59064,-0.31115,-0.00694,-0.73917,-0.28176,-0.10657,-0.51369,-1.77236,-0.10459,0.62326,-0.89498,1.33303,1.46805,-1.01395,-0.31883,-0.84538,-0.202,-1.36951,-0.35722,-0.18643,-1.0185,0
