,DDE_HD,DDE_DD,DDE_QK,DDE_QD,DDE_VM,DDE_WV,DDE_MK,DDE_MD,DDE_GP,DDE_DN,DDE_AI,DDE_AH,DDE_SS,DDE_TT,CTDC_secondarystruct.G3,QSO3_SC_M,CTDD_hydrophobicity_CASG920101.3.residue75,DDR_N,CTDD_hydrophobicity_CASG920101.3.residue0,CTDC_secondarystruct.G1,DDE_YL,DDE_VD,MSW__27,Z3__7,CKSAAGP_uncharger.uncharger.gap1,CKSAAP_TS.gap3,QSO3_SC_L,CKSAAP_IY.gap2,DDE_DQ,DDE_PS,MSW__7,DDE_LI,CTDC_hydrophobicity_ENGD860101.G3,CKSAAP_NG.gap1,AAC_K,DDE_HE,PAAC_Xc1.R,CTDD_polarity.2.residue50,CTDD_polarity.2.residue0,CTriad_g6.g1.g1,CTriad_g4.g3.g1,Z5__26,CKSAAP_AL.gap1,DDE_DP,CKSAAP_VS.gap2,NMBroto_CHAM810101.lag2,Z3__21,CTriad_g6.g3.g2,GTPC_postivecharger.alphaticr.aromatic,CKSAAGP_alphaticr.aromatic.gap4,Geary_CHAM820102.lag3,Z3__27,Z5__46,DDE_EK,CKSAAP_HR.gap3,Geary_CHAM820101.lag3,TM_tend,formula_H,CTDT_hydrophobicity_PONP930101.Tr1221,MSW__16,MSW__8,NMBroto_CIDH920105.lag2,Z5__44,DDE_GL,CTDD_hydrophobicity_FASG890101.1.residue0,CKSAAP_ET.gap3,OVP_Hydrophobic_N4,DDE_SL,DDE_PP,Charge_phys,y
negative11,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,3.19751,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,3.47418,-0.51986,-1.40448,-0.92396,-1.12564,-1.07738,-0.22045,-0.24832,0.55577,0.10065,0.00584,-0.22454,0.54844,-0.1838,-0.17764,-0.21124,0.46501,-0.24955,-1.2576,-0.19169,-1.01935,-0.11703,0.40114,0.33553,-0.77343,-0.28071,-0.21525,2.13123,-0.30461,-0.19193,-0.2232,0.86199,-0.27787,-0.23907,-0.24428,-0.59064,1.02404,-1.11899,0.13264,-0.2726,-0.10657,-2.59864,0.00051,-1.41092,3.12911,-0.85274,0.65844,-0.14869,1.03771,7.27183,0.05573,-0.202,-1.36951,-0.27646,-0.15406,-1.30852,0
negative12,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-1.07439,1.41942,-0.00342,1.79657,0.4092,0.49838,-0.25519,-0.26769,0.48873,0.01277,-0.21662,-0.22454,-0.18898,-0.1838,-0.19234,-0.27867,-1.13706,-0.29244,0.52246,-0.19169,-1.01935,-0.13857,0.41113,-0.82053,-0.86644,-0.28071,2.47062,0.14863,2.22944,-0.21571,-0.2232,0.20635,0.58887,-0.23907,-0.24428,0.66317,-0.08222,0.04397,-0.65103,-0.28176,-0.10657,-1.076,-0.78681,1.03318,-0.66023,0.36862,-1.06864,1.14346,-0.9832,-0.31883,-0.54501,-0.202,0.73019,-0.35722,-0.18643,-0.85017,0
negative13,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,-0.51986,1.63116,0.85619,2.19984,-0.62717,-0.22045,-0.24832,1.60263,0.60578,1.6076,-0.22454,0.43809,-0.1838,-0.17764,-0.21124,0.1942,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,-0.75649,0.69125,-0.77343,-0.28071,-0.21525,-1.11577,-0.30461,-0.19193,4.27512,0.26249,1.45097,-0.23907,-0.24428,-0.59064,2.45824,-0.50864,-1.16595,-0.2726,-0.10657,-0.0064,-0.79972,-0.73669,0.22599,0.91792,0.53901,0.47734,-0.12866,-0.26272,0.85672,-0.202,-1.36951,-0.27646,-0.15406,-1.13775,0
negative14,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-1.20435,-0.51986,0.23009,0.02874,-0.61402,0.72349,-0.22045,-0.24832,-0.29967,0.90825,-0.79504,-0.22454,1.16916,-0.1838,-0.17764,-0.21124,-0.59499,-0.24955,0.93324,-0.19169,0.90678,-0.11703,-0.75649,-0.37589,0.71479,-0.28071,-0.21525,-0.75232,3.20408,-0.19193,-0.2232,-0.44066,-0.33808,-0.23907,-0.24428,1.29008,0.41324,-1.78501,1.39232,-0.2726,-0.10657,-1.57722,-0.03569,-0.10459,-0.93526,-1.33131,-0.64737,-0.509,-1.55824,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,-0.71162,0
negative15,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,5.05746,-0.20684,0.35516,1.25261,0.23009,-0.92396,0.665,0.27327,-0.22045,-0.24832,1.33983,-0.8199,0.80672,-0.22454,0.45469,-0.1838,-0.17764,-0.21124,-0.99058,-0.24955,0.38553,-0.19169,-0.05628,-0.11703,0.39865,2.1141,0.34274,-0.28071,-0.21525,-1.17061,-0.30461,-0.19193,-0.2232,0.94223,-0.50873,-0.23907,-0.24428,-0.59064,1.02818,0.82857,0.36038,-0.2726,-0.10657,-0.8993,0.30392,-0.31529,-0.93526,1.00228,-1.19023,0.23275,-0.40392,-0.26272,-0.34476,-0.202,-1.36951,-0.27646,-0.15406,0.26758,0
negative16,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,-0.51986,-1.40448,1.75961,-1.12564,-2.42804,-0.22045,-0.24832,0.7527,1.19171,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,4.31533,3.03924,-0.24955,-2.35302,-0.19169,-1.01935,-0.11703,-0.75649,-0.37589,0.34274,-0.28071,-0.21525,1.5621,-0.30461,-0.19193,-0.2232,-0.74176,0.56507,-0.23907,-0.24428,-0.59064,1.23725,0.27938,-2.01046,-0.2726,-0.10657,1.36434,-1.00569,-0.90525,0.22599,-0.01574,2.59111,-0.85646,0.30615,-0.26272,1.25721,-0.202,0.73019,-0.27646,-0.15406,-0.45806,0
negative17,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,-0.23693,0.66319,0.15339,-0.62717,-0.22045,-0.24832,-0.10178,0.28587,0.00584,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,0.19499,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,0.31602,-1.08732,-0.77343,-0.28071,-0.21525,0.54834,-0.30461,-0.19193,-0.2232,0.62082,-0.36557,-0.23907,-0.24428,-0.59064,0.01507,2.09524,0.37008,-0.2726,-0.10657,0.14391,0.12953,-0.18887,0.22599,-0.69564,0.89704,0.22083,1.34612,-0.26272,1.25721,-0.202,0.73019,-0.27646,-0.15406,0.9208,0
negative18,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,-0.70395,0.44554,-0.35822,-1.5276,-0.22045,-0.24832,0.88017,-0.21739,1.6076,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,1.08745,-0.24955,-0.16218,-0.19169,-1.01935,-0.11703,-0.75649,-0.37589,-0.77343,-0.28071,-0.21525,-0.2452,-0.30461,-0.19193,-0.2232,-1.23279,2.17771,-0.23907,-0.24428,1.29008,1.66926,-0.95869,-1.14038,-0.2726,-0.10657,0.48905,-0.89762,-0.35743,-0.93526,1.54601,0.67431,1.0588,0.84327,-0.26272,4.46115,-0.202,0.73019,-0.27646,-0.15406,-0.61805,0
negative19,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,3.19751,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,1.16414,-0.92396,-0.61402,-1.07738,-0.22045,-0.24832,0.36692,-0.07542,-0.79504,-0.22454,-0.17124,-0.1838,-0.17764,4.31533,-0.92256,-0.24955,0.38553,-0.19169,-0.05628,-0.11703,-0.75649,-0.02018,0.71479,-0.28071,-0.21525,1.21539,-0.30461,-0.19193,-0.2232,0.72014,0.37111,-0.23907,3.73903,-0.59064,-1.98203,0.3376,0.21261,-0.2726,-0.10657,0.04029,1.00983,-0.39957,-0.93526,0.57673,0.85316,0.75008,-0.10209,-0.26272,2.85918,-0.202,0.73019,-0.27646,-0.15406,-0.47625,0
negative20,-0.11095,-0.18856,-0.2091,-0.15482,-0.07225,9.82616,-0.13369,-0.11764,-0.19106,-0.18079,-0.21972,-0.11264,-0.16763,-0.17958,0.35516,-0.51986,1.5144,0.18889,-0.48612,-1.18994,-0.19653,-0.23498,0.56293,-0.72497,1.28725,-0.22454,-0.9666,-0.1838,-0.16751,-0.16481,-0.09347,-0.22001,-0.29911,-0.19169,-1.01935,-0.1022,0.29874,0.06875,-0.68042,-0.28071,-0.21525,0.95841,-0.30461,-0.17555,-0.2232,-0.67492,0.08129,-0.23907,-0.24428,-0.59064,0.70359,0.35265,-0.14253,-0.2663,-0.10657,0.91191,0.96025,-1.41092,-0.77691,0.65397,-0.96312,-1.23191,0.18492,-0.22407,-0.64513,-0.202,-1.36951,-0.22085,-0.13176,0.12522,0
negative21,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,1.26488,-0.51986,0.52198,0.65292,-0.35822,-1.18994,-0.25519,-0.26769,0.76503,-0.05538,-0.21662,-0.22454,-0.36687,-0.1838,-0.19234,3.60692,0.68414,-0.29244,0.52246,-0.19169,-1.01935,-0.13857,0.36434,-0.28696,-0.86644,-0.28071,-0.21525,1.58921,-0.30461,-0.21571,-0.2232,0.57195,-0.15309,-0.23907,-0.24428,1.91698,-0.1609,0.23731,0.17163,-0.28176,-0.10657,0.27311,-0.29584,0.35894,0.62326,-0.35395,0.83813,0.45945,-1.10852,-0.31883,-0.54501,-0.202,0.73019,-0.35722,-0.18643,0.03096,0
negative22,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-1.20435,-0.51986,-0.00342,-0.92396,0.4092,-0.62717,-0.22045,-0.24832,-0.80548,-1.39236,-0.79504,-0.22454,-0.36361,-0.1838,-0.17764,-0.21124,0.44784,-0.24955,0.38553,-0.19169,-0.05628,-0.11703,0.32046,1.04696,2.20302,-0.28071,-0.21525,0.32683,-0.30461,-0.19193,-0.2232,-0.84576,0.84841,-0.23907,7.72233,1.29008,-0.67993,1.1222,0.10064,-0.2726,-0.10657,2.27482,0.65732,0.14824,0.22599,0.98166,1.8984,-0.90182,1.24553,-0.26272,-0.34476,-0.202,0.73019,-0.27646,-0.15406,-1.4899,0
negative23,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,-0.12167,-0.14589,-0.13098,-0.23533,-0.19477,-0.26091,-0.16009,-0.24449,-0.2313,1.65475,-0.51986,0.34685,1.41467,0.79291,-0.25198,-0.24192,-0.26029,0.95233,-0.50512,3.10924,-0.22454,-0.9666,-0.1838,-0.18672,7.96269,0.81313,-0.27606,-1.8966,-0.19169,-1.01935,-0.13034,-0.75649,-0.07946,-0.21535,-0.28071,-0.21525,-0.64299,-0.30461,-0.20662,-0.2232,2.02536,-0.12922,-0.23907,-0.24428,-0.59064,-0.21847,-0.25978,-1.28236,-0.27826,-0.10657,0.46599,-0.58539,-0.44171,0.87492,0.50118,1.64803,1.93301,-0.34343,-0.2974,-0.812,-0.202,-1.36951,-0.32637,-0.17406,-0.25064,0
negative24,-0.15139,-0.2115,-0.23306,4.73939,-0.12959,-0.13792,-0.15284,-0.13859,-0.26055,-0.20274,-0.28438,-0.18713,-0.28828,-0.26077,-0.82628,1.86183,0.18764,1.69801,0.61849,0.80535,-0.26778,-0.2747,0.07372,-0.96549,-0.27447,-0.22454,0.46592,-0.1838,-0.19766,-0.3031,0.36908,-0.30799,-0.11239,-0.19169,1.6072,-0.14637,-0.75649,-1.66939,-0.63814,-0.28071,-0.21525,-0.99452,-0.30461,-0.22432,-0.2232,0.37343,0.10712,-0.23907,-0.24428,-0.59064,0.74421,1.56551,-0.0996,-0.28507,-0.10657,1.20921,0.45945,2.88732,-0.74172,1.58682,1.16433,0.43505,0.68129,-0.33917,-0.87268,-0.202,-1.36951,-0.38649,-0.19816,1.52611,0
negative25,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,2.68049,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.68451,-0.51986,-0.00342,-0.92396,0.4092,0.83604,-0.25519,-0.26769,-0.04587,0.87351,-0.21662,-0.22454,-0.02737,-0.1838,-0.19234,-0.27867,-0.53408,-0.29244,-0.70989,-0.19169,-1.01935,-0.13857,4.10353,-0.55375,-0.5874,-0.28071,-0.21525,0.93963,-0.30461,-0.21571,-0.2232,-0.11056,-2.4144,-0.23907,-0.24428,-0.59064,-0.44912,0.99369,1.91599,-0.28176,-0.10657,1.1804,0.56927,1.83383,0.19543,-0.56457,-0.40535,0.11396,2.52108,-0.31883,-0.24464,-0.202,0.73019,-0.35722,-0.18643,0.75414,0
negative26,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,1.22541,-0.23693,-0.92396,0.15339,-0.17695,-0.22045,-0.24832,-0.61089,-0.48938,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-0.80545,-0.24955,0.38553,-0.19169,-0.05628,-0.11703,0.32929,1.04696,1.45891,-0.28071,-0.21525,1.57736,-0.30461,-0.19193,-0.2232,-1.57951,-0.67259,-0.23907,-0.24428,-0.59064,-1.01473,0.57283,-0.0889,-0.2726,-0.10657,-0.94931,-1.1161,-0.39957,0.22599,-0.18168,-0.65164,-0.2569,1.03001,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,-0.83065,0
negative27,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,3.99133,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,0.93063,1.40235,1.43242,-0.62717,-0.22045,-0.24832,-0.94449,0.6325,0.00584,-0.22454,-0.35727,-0.1838,-0.17764,-0.21124,-1.06513,-0.24955,-0.16218,-0.19169,-0.05628,-0.11703,0.3002,-0.7316,-0.77343,4.20706,-0.21525,0.1881,-0.30461,-0.19193,-0.2232,0.25933,0.41825,-0.23907,-0.24428,1.29008,1.49246,-1.47638,0.42199,-0.2726,-0.10657,-1.05564,-1.40163,-0.31529,-0.35463,-0.20561,0.89002,-0.23885,-1.75404,-0.26272,0.05573,-0.202,-1.36951,-0.27646,-0.15406,0.74538,0
negative28,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,3.99133,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,0.23009,-0.92396,-0.61402,0.27327,-0.22045,-0.24832,-0.96018,-0.9791,-0.79504,-0.22454,-0.31528,-0.1838,-0.17764,-0.21124,0.07673,-0.24955,0.38553,-0.19169,-0.05628,-0.11703,0.34424,-0.7316,-0.77343,-0.28071,-0.21525,-1.06099,-0.30461,-0.19193,-0.2232,-0.51453,-0.29592,4.68535,-0.24428,1.29008,2.06408,0.56165,0.24865,-0.2726,-0.10657,-0.32767,0.46342,-0.06245,-0.93526,0.24184,0.27837,-1.90168,-0.5629,-0.26272,0.05573,-0.202,-1.36951,-0.27646,-0.15406,0.57256,0
negative29,-0.12453,4.30927,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,-0.51986,-0.00342,-0.92396,0.4092,-0.17695,4.44426,-0.24832,-0.49222,3.32563,-0.79504,-0.22454,0.24133,-0.1838,-0.17764,-0.21124,1.02971,-0.24955,-0.70989,-0.19169,0.90678,-0.11703,-0.75649,0.33553,-0.02932,-0.28071,-0.21525,1.29454,-0.30461,-0.19193,-0.2232,-1.17417,-0.44568,-0.23907,-0.24428,-0.59064,-0.25017,-0.09895,-0.5779,-0.2726,-0.10657,-1.04973,0.64095,-0.61027,0.22599,0.43801,1.09314,0.9785,0.16224,3.50456,0.45622,-0.202,0.73019,-0.27646,-0.15406,1.11204,0
negative30,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,1.39484,-0.51986,0.93063,1.10258,-0.61402,-1.97782,-0.22045,-0.24832,1.79324,-1.90879,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,3.23526,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,-0.75649,-0.7316,0.34274,-0.28071,-0.21525,0.14982,-0.30461,-0.19193,-0.2232,1.24593,1.49572,-0.23907,-0.24428,1.29008,2.22858,-1.00278,-0.82603,-0.2726,-0.10657,-1.13775,0.80662,-1.0738,0.22599,1.81874,-0.917,0.17606,-1.19602,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,0.81036,0
