,gbc,et,catboost,dt,ada
negative175,0,0,0,0,0
negative176,1,1,1,1,1
negative177,0,0,0,0,0
negative178,0,0,0,0,0
negative179,1,1,1,1,1
negative180,0,0,0,1,0
negative181,0,0,0,0,0
negative182,0,0,0,1,1
negative183,0,0,0,0,0
negative184,1,1,1,1,1
negative185,0,0,0,0,0
negative186,0,0,0,0,0
negative187,0,0,0,0,0
negative188,0,1,0,0,0
negative189,1,1,1,1,1
negative190,0,0,0,0,0
negative191,0,0,0,0,0
negative192,0,0,0,0,0
negative193,1,1,1,1,1
negative194,0,0,0,1,1
negative195,1,0,1,1,1
negative196,1,0,1,1,1
negative197,1,1,1,1,1
negative198,0,0,0,0,0
negative199,0,0,0,0,0
negative200,0,0,0,1,1
negative201,0,0,0,0,0
negative202,1,1,1,1,1
negative203,0,0,0,0,0
negative204,0,0,0,0,0
negative205,0,0,0,1,1
negative206,0,0,0,0,0
negative207,1,0,0,1,1
negative208,0,0,0,0,0
negative209,0,0,0,0,0
negative210,1,1,1,1,1
negative211,0,0,0,0,0
negative212,0,0,0,0,0
negative213,1,1,1,1,1
negative214,0,0,0,0,0
negative215,0,0,0,0,0
negative216,1,1,1,1,1
negative217,0,0,0,0,0
negative218,0,0,0,1,0
negative219,1,0,0,1,1
negative220,1,0,0,1,1
negative221,1,1,1,1,1
negative222,0,0,0,0,0
negative223,0,0,0,0,0
negative224,0,0,0,0,0
negative225,0,0,0,0,0
negative226,0,0,0,0,0
negative227,1,1,1,0,1
negative228,0,0,0,0,0
negative229,0,0,0,0,0
negative230,1,0,0,0,0
negative231,0,0,0,0,1
negative232,0,0,0,0,0
negative233,0,0,0,0,0
negative234,0,1,1,1,1
negative235,0,0,0,0,0
negative236,0,0,0,1,0
negative237,0,0,0,0,0
negative238,0,0,0,0,0
negative239,0,0,0,1,0
negative240,0,0,0,0,0
negative241,0,0,0,0,0
negative242,0,1,0,0,0
negative243,0,0,0,0,0
negative244,1,1,1,1,1
negative245,0,0,0,0,0
negative246,0,0,0,0,0
negative247,0,0,0,0,0
negative248,0,0,0,0,0
negative249,0,0,0,0,0
negative250,1,1,1,1,1
negative251,0,0,0,1,0
negative252,0,0,0,0,0
positive1,1,1,1,1,1
positive2,1,1,1,1,1
positive3,1,1,1,1,1
positive4,0,1,0,1,1
positive5,1,1,1,1,1
positive6,1,1,1,1,1
positive7,1,1,1,1,1
positive8,1,1,1,0,0
positive9,1,1,1,1,1
positive10,1,1,1,1,1
positive11,1,1,1,1,1
positive12,1,1,1,1,1
positive13,0,0,0,0,0
positive14,0,1,0,0,0
positive15,1,1,1,1,1
positive16,1,1,1,0,0
positive17,1,1,1,1,1
positive18,1,1,1,1,1
positive19,1,1,1,1,1
positive20,0,0,0,0,0
positive21,0,0,0,0,0
positive22,1,1,1,1,1
positive23,0,1,0,0,0
positive24,1,1,1,1,1
positive25,1,1,1,1,1
positive26,0,1,0,1,1
positive27,1,1,1,1,1
positive28,1,1,1,0,1
positive29,1,1,1,1,1
positive30,1,1,1,0,0
positive31,1,1,1,1,1
positive32,1,1,1,1,1
positive33,1,1,1,1,1
positive34,1,1,1,1,1
positive35,1,0,1,1,1
positive36,1,1,1,1,1
positive37,0,1,0,0,0
positive38,0,0,0,0,0
positive39,1,1,1,1,1
positive40,1,1,1,1,0
positive41,1,1,1,1,1
positive42,1,1,1,1,1
positive43,0,1,1,0,0
positive44,1,1,1,1,1
positive45,0,0,0,0,0
positive46,1,1,1,1,1
positive47,0,1,0,0,0
positive48,0,1,0,0,0
positive49,0,0,0,0,0
positive50,1,1,1,1,1
positive51,1,1,1,1,1
positive52,0,1,1,0,0
positive53,0,1,0,0,0
positive54,1,1,1,0,1
positive55,1,1,1,1,1
positive56,0,1,0,0,0
positive57,1,1,1,1,1
positive58,1,1,1,1,1
positive59,1,0,0,1,1
positive60,1,1,1,1,1
positive61,1,1,1,1,1
positive62,0,0,0,0,0
positive63,1,1,1,1,1
positive64,1,1,1,0,0
positive65,1,1,1,1,1
positive66,1,1,1,1,1
positive67,1,1,1,1,1
positive68,0,1,1,0,0
positive69,0,0,0,0,0
positive70,1,1,1,1,1
positive71,1,1,1,1,1
positive72,0,0,1,1,0
positive73,1,1,1,0,1
positive74,1,1,1,1,1
positive75,1,1,1,1,1
positive76,1,1,0,0,0
positive77,1,1,1,1,1
positive78,1,1,1,0,0
positive79,1,1,1,0,0
positive80,1,1,1,1,1
positive81,1,1,1,1,1
positive82,1,0,1,0,1
positive83,0,1,1,0,0
positive84,1,1,1,1,1
positive85,1,1,1,1,1
positive86,1,1,1,1,1
positive87,1,1,1,1,1
positive88,1,1,1,1,1
positive89,1,1,1,1,1
positive90,1,1,1,1,1
positive91,0,1,0,0,0
positive92,0,1,0,0,0
positive93,0,0,0,0,0
positive94,1,1,1,1,1
positive95,0,1,1,0,0
positive96,0,1,0,0,0
positive97,1,1,1,1,1
positive98,0,1,0,0,0
positive99,0,0,0,1,0
positive100,1,1,1,1,1
positive101,1,1,1,1,1
positive102,1,1,1,1,1
positive103,1,0,0,1,1
positive104,1,1,0,1,1
positive105,1,1,1,0,1
positive106,0,1,1,0,0
positive107,1,1,1,1,1
positive108,1,1,1,1,1
positive109,0,0,0,1,0
positive110,1,1,1,1,1
positive111,1,1,1,1,1
positive112,1,1,1,0,1
positive113,1,1,1,1,1
positive114,1,1,1,1,1
positive115,0,1,1,0,0
positive116,0,1,0,0,0
positive117,1,1,1,1,1
positive118,0,1,0,0,0
positive119,1,1,1,0,0
positive120,1,1,1,1,1
positive121,1,1,1,1,1
positive122,1,0,1,1,1
positive123,1,1,1,1,1
positive124,1,1,1,1,1
positive125,1,1,1,1,1
positive126,1,1,1,1,1
positive127,1,1,1,1,1
positive128,0,1,0,0,0
positive129,1,0,1,1,1
positive130,1,1,1,1,1
positive131,1,1,1,1,1
positive132,0,0,1,1,1
positive133,1,1,1,1,1
positive134,1,1,1,1,1
positive135,1,1,1,1,1
positive136,1,1,1,1,1
positive137,0,1,1,0,0
positive138,1,1,1,1,1
positive139,1,1,1,1,1
positive140,1,1,1,1,1
positive141,1,1,1,1,1
positive142,0,1,1,1,0
positive143,0,0,0,0,1
positive144,1,1,1,1,1
positive145,1,1,1,1,1
positive146,1,0,1,1,1
positive147,1,1,1,0,1
positive148,1,1,1,1,1
positive149,1,1,1,1,1
positive150,1,1,1,1,1
positive151,1,1,1,1,1
positive152,1,1,1,1,1
positive153,0,1,1,0,0
positive154,0,0,0,0,0
positive155,1,1,1,1,1
positive156,1,1,1,1,1
positive157,1,1,1,1,1
positive158,1,1,1,1,1
positive159,1,1,1,1,1
positive160,1,1,1,1,1
positive161,1,1,1,1,1
positive162,0,0,0,0,0
positive163,1,1,1,0,0
positive164,1,1,1,1,1
positive165,1,1,1,1,1
positive166,0,1,0,0,0
positive167,1,1,1,1,1
positive168,1,1,1,1,1
positive169,1,1,1,1,1
positive170,1,1,1,1,1
positive171,1,1,1,1,1
positive172,0,0,0,0,0
positive173,0,0,0,0,0
