,DDE_HD,DDE_DD,DDE_QK,DDE_QD,DDE_VM,DDE_WV,DDE_MK,DDE_MD,DDE_GP,DDE_DN,DDE_AI,DDE_AH,DDE_SS,DDE_TT,CTDC_secondarystruct.G3,QSO3_SC_M,CTDD_hydrophobicity_CASG920101.3.residue75,DDR_N,CTDD_hydrophobicity_CASG920101.3.residue0,CTDC_secondarystruct.G1,DDE_YL,DDE_VD,MSW__27,Z3__7,CKSAAGP_uncharger.uncharger.gap1,CKSAAP_TS.gap3,QSO3_SC_L,CKSAAP_IY.gap2,DDE_DQ,DDE_PS,MSW__7,DDE_LI,CTDC_hydrophobicity_ENGD860101.G3,CKSAAP_NG.gap1,AAC_K,DDE_HE,PAAC_Xc1.R,CTDD_polarity.2.residue50,CTDD_polarity.2.residue0,CTriad_g6.g1.g1,CTriad_g4.g3.g1,Z5__26,CKSAAP_AL.gap1,DDE_DP,CKSAAP_VS.gap2,NMBroto_CHAM810101.lag2,Z3__21,CTriad_g6.g3.g2,GTPC_postivecharger.alphaticr.aromatic,CKSAAGP_alphaticr.aromatic.gap4,Geary_CHAM820102.lag3,Z3__27,Z5__46,DDE_EK,CKSAAP_HR.gap3,Geary_CHAM820101.lag3,TM_tend,formula_H,CTDT_hydrophobicity_PONP930101.Tr1221,MSW__16,MSW__8,NMBroto_CIDH920105.lag2,Z5__44,DDE_GL,CTDD_hydrophobicity_FASG890101.1.residue0,CKSAAP_ET.gap3,OVP_Hydrophobic_N4,DDE_SL,DDE_PP,Charge_phys,y
negative11,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,7.85741,-0.14589,-0.13098,-0.23533,-0.19477,-0.26091,-0.16009,-0.24449,-0.2313,-0.51123,-0.51986,0.93063,-0.92396,0.36656,-0.25198,-0.24192,-0.26029,0.64662,0.34285,-0.79504,-0.22454,-0.34392,-0.1838,-0.18672,-0.25291,0.12885,-0.27606,-0.07089,-0.19169,-1.01935,-0.13034,0.31563,-0.37589,-0.21535,-0.28071,-0.21525,2.16013,2.5462,-0.20662,-0.2232,-0.19414,0.59027,-0.23907,2.99216,0.85606,-1.44072,0.22453,-0.61409,-0.27826,-0.10657,1.04974,-0.66103,0.19038,-0.55956,1.13001,-0.18674,-1.11082,0.57766,-0.2974,-0.812,-0.202,0.73019,-0.32637,-0.17406,-0.01609,0
negative12,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-1.46426,-0.51986,-0.35368,2.08402,-0.93378,1.51137,-0.25519,-0.26769,-2.11868,-0.22126,-0.79504,-0.22454,0.99486,-0.1838,-0.19234,-0.27867,0.49187,-0.29244,0.93324,-0.19169,1.86985,7.3076,0.29562,-0.02018,1.08685,-0.28071,-0.21525,-0.74395,-0.30461,-0.21571,-0.2232,-0.08658,-0.43157,-0.23907,-0.24428,-0.59064,-0.91839,0.80968,0.65928,2.88319,-0.10657,-1.08098,0.3161,2.7609,-0.2324,-0.66794,0.56942,-0.6921,0.1471,-0.31883,-0.24464,-0.202,0.73019,-0.35722,-0.18643,-0.37021,0
negative13,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,3.36042,-0.17397,-0.26697,-0.24643,-0.68451,-0.51986,1.04738,2.78212,0.98476,0.49838,-0.25519,-0.26769,1.47027,-0.29794,0.36179,-0.22454,0.35411,-0.1838,-0.19234,-0.27867,-0.2829,-0.29244,-0.70989,-0.19169,-1.01935,-0.13857,-0.75649,-0.82053,-0.5874,1.96317,-0.21525,0.56054,2.22944,-0.21571,-0.2232,0.39104,1.40953,-0.23907,-0.24428,-0.59064,-0.33939,0.03832,-1.34459,-0.28176,-0.10657,-0.81919,-0.97978,0.5275,1.47892,1.06043,0.24656,0.81285,-1.68405,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.52223,0
negative14,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,0.69712,-0.92396,1.17662,0.27327,-0.22045,3.65197,-0.61941,0.47244,0.00584,-0.22454,0.29878,-0.1838,-0.17764,-0.21124,0.22347,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,0.34873,-0.02018,-0.02932,-0.28071,-0.21525,-0.85209,-0.30461,-0.19193,4.27512,-0.5072,0.16814,-0.23907,-0.24428,1.29008,-0.95484,-1.02738,-0.14769,-0.2726,-0.10657,-1.27464,-0.29382,-0.35743,-0.93526,0.59533,0.79059,0.6228,-0.33896,-0.26272,-0.34476,-0.202,0.73019,3.33793,-0.15406,-0.18814,0
negative15,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,0.91126,0.69712,0.44554,1.17662,-1.07738,-0.22045,-0.24832,-0.88931,-2.054,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-1.17426,-0.24955,0.38553,-0.19169,-0.05628,-0.11703,0.26965,-1.08732,-0.77343,-0.28071,-0.21525,0.62951,-0.30461,-0.19193,-0.2232,-0.43305,-0.01586,-0.23907,-0.24428,1.29008,0.27417,-1.08171,0.14512,-0.2726,-0.10657,-0.77855,1.22196,-0.56813,-0.35463,0.27888,0.46129,-2.34696,-0.39445,-0.26272,-0.74525,5.03431,0.73019,-0.27646,-0.15406,1.27238,0
negative16,-0.12453,4.30927,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,0.46361,1.75961,0.92081,0.27327,-0.22045,-0.24832,-0.39555,-0.65369,-0.79504,-0.22454,-0.4017,-0.1838,-0.17764,-0.21124,1.87713,-0.24955,-0.70989,-0.19169,-1.01935,-0.11703,0.31236,-0.02018,-0.77343,-0.28071,-0.21525,-0.40705,-0.30461,-0.19193,-0.2232,-0.97444,0.42269,4.68535,-0.24428,-0.59064,-0.9196,0.38914,-0.54882,-0.2726,-0.10657,-0.91782,0.51665,-0.77883,0.80661,-0.09665,1.47806,-0.27868,-0.34981,-0.26272,-0.34476,5.03431,0.73019,-0.27646,-0.15406,-0.66703,0
negative17,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,-0.12167,-0.14589,-0.13098,2.86092,-0.19477,-0.26091,-0.16009,-0.24449,-0.2313,-0.51123,-0.51986,-0.8207,-0.92396,-0.48612,0.87356,-0.24192,-0.26029,0.04182,-0.59005,-0.14432,-0.22454,1.85206,-0.1838,-0.18672,-0.25291,-1.71586,3.20807,0.84196,-0.19169,0.58576,-0.13034,1.44203,1.6991,1.64493,-0.28071,-0.21525,-0.5175,-0.30461,-0.20662,-0.2232,-1.10532,-0.93621,-0.23907,-0.24428,-0.59064,-0.23876,-1.1312,2.3017,-0.27826,-0.10657,-0.14435,0.84878,1.53885,-0.55956,-0.33367,-1.18834,0.09998,-0.363,-0.2974,-0.812,-0.202,0.73019,-0.32637,-0.17406,0.00464,0
negative18,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,-0.51986,-0.00342,-0.92396,0.4092,-0.62717,-0.22045,-0.24832,-1.29924,0.42402,1.6076,-0.22454,-0.34604,-0.1838,-0.17764,-0.21124,0.8025,-0.24955,-0.70989,-0.19169,-0.05628,-0.11703,0.35459,0.33553,-0.40137,-0.28071,-0.21525,-0.50197,-0.30461,-0.19193,-0.2232,-0.82177,-0.77434,-0.23907,-0.24428,-0.59064,0.55899,-2.83152,2.55922,-0.2726,-0.10657,0.03529,-1.41322,-0.86311,0.80661,-0.43731,1.70558,0.4794,-0.12277,-0.26272,0.05573,-0.202,-1.36951,-0.27646,-0.15406,1.71717,0
negative19,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,2.42466,-0.20684,1.39484,-0.51986,-1.40448,-0.02875,-1.12564,0.27327,-0.22045,-0.24832,0.85698,-0.01856,0.00584,-0.22454,1.6994,-0.1838,-0.17764,-0.21124,0.14348,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,-0.75649,0.33553,-0.02932,-0.28071,-0.21525,-0.68537,-0.30461,-0.19193,-0.2232,-2.24619,-0.11829,-0.23907,-0.24428,-0.59064,-0.91473,-0.32489,-0.20895,-0.2726,-0.10657,-0.09706,-0.47402,-0.44171,0.22599,-0.65898,0.54032,-0.69913,-0.4727,-0.26272,-0.34476,-0.202,-1.36951,-0.27646,-0.15406,0.14996,0
negative20,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-1.20435,-0.51986,-1.40448,-0.92396,-1.12564,1.17371,-0.22045,-0.24832,0.23501,-0.55625,0.00584,-0.22454,-0.29233,-0.1838,-0.17764,-0.21124,-0.51113,-0.24955,-0.16218,-0.19169,-0.05628,-0.11703,-0.75649,-1.08732,-0.77343,-0.28071,-0.21525,0.34227,-0.30461,-0.19193,-0.2232,-0.85185,0.96517,-0.23907,-0.24428,-0.59064,1.14435,-0.68978,-1.25938,-0.2726,-0.10657,-0.68903,-0.10184,-0.73669,-1.51588,-1.19026,0.29745,-0.10804,-0.4183,-0.26272,0.85672,-0.202,0.73019,-0.27646,-0.15406,0.45795,0
negative21,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,-0.00342,-0.92396,-0.10241,-0.17695,-0.22045,-0.24832,-1.27526,1.81102,-0.79504,-0.22454,0.2742,-0.1838,-0.17764,-0.21124,0.39977,-0.24955,0.38553,-0.19169,-0.05628,-0.11703,0.27092,-1.08732,-0.77343,-0.28071,-0.21525,0.19562,-0.30461,-0.19193,-0.2232,1.13724,-0.77474,-0.23907,-0.24428,1.29008,0.85063,-0.83706,0.01805,3.41445,-0.10657,-0.03867,1.05858,-0.27315,-0.35463,-0.2188,-0.57811,0.54204,0.38523,-0.26272,-0.34476,-0.202,0.73019,-0.27646,-0.15406,-0.71744,0
negative22,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,1.60491,1.16414,-0.92396,1.68823,0.27327,-0.22045,-0.24832,1.45367,1.14772,-0.79504,-0.22454,-0.11461,-0.1838,-0.17764,-0.21124,0.66157,-0.24955,-0.16218,-0.19169,-1.01935,-0.11703,-0.75649,0.33553,-0.40137,-0.28071,-0.21525,1.50566,-0.30461,-0.19193,-0.2232,-1.13192,0.72373,-0.23907,-0.24428,1.29008,0.79197,-0.62516,-1.75289,-0.2726,-0.10657,0.28244,-1.40648,-1.2845,0.22599,-0.55032,-0.73618,-0.44884,-0.21267,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,-0.61805,0
negative23,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,1.39484,-0.51986,-0.00342,-0.13346,-0.61402,-1.5276,-0.22045,-0.24832,0.67398,1.31247,0.80672,-0.22454,-0.16555,-0.1838,-0.17764,-0.21124,0.83757,-0.24955,0.93324,5.3648,-1.01935,-0.11703,-0.75649,1.75839,1.45891,-0.28071,-0.21525,-0.40915,-0.30461,-0.19193,-0.2232,-0.41644,0.50292,-0.23907,-0.24428,-0.59064,-0.37226,0.71695,-0.18869,-0.2726,-0.10657,-1.9356,-0.76948,-0.98953,0.22599,-0.45404,0.08594,-0.88031,1.18429,3.50456,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,0.23161,0
negative24,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,-0.51986,0.23009,1.40235,0.665,-0.17695,-0.22045,-0.24832,0.3115,0.04702,0.80672,-0.22454,0.53281,-0.1838,-0.17764,-0.21124,-0.58042,-0.24955,0.38553,-0.19169,-0.05628,-0.11703,-0.75649,-0.7316,-0.40137,4.20706,-0.21525,-0.7212,-0.30461,-0.19193,-0.2232,-0.39895,-0.57431,-0.23907,-0.24428,-0.59064,0.93195,0.45396,1.42056,-0.2726,-0.10657,0.86929,-0.95899,-0.98953,-0.35463,-0.71484,-0.16145,-0.35026,-0.36683,-0.26272,-0.74525,-0.202,-1.36951,3.33793,-0.15406,0.90903,0
negative25,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,-0.00342,-0.92396,0.4092,0.72349,-0.22045,-0.24832,-0.19681,-0.86287,4.01023,-0.22454,2.353,-0.1838,-0.17764,-0.21124,-0.10816,-0.24955,-0.16218,-0.19169,-1.01935,-0.11703,-0.75649,0.33553,0.71479,-0.28071,-0.21525,-2.22156,-0.30461,-0.19193,-0.2232,0.72146,0.90874,-0.23907,-0.24428,1.29008,-0.42221,-1.01565,-0.12213,-0.2726,-0.10657,0.0095,-0.7169,-0.06245,-1.51588,3.02527,0.93796,0.25464,0.8564,-0.26272,-0.34476,-0.202,-1.36951,-0.27646,-0.15406,-1.70381,0
negative26,-0.10083,-0.18282,-0.20311,-0.14714,-0.0579,-0.08196,-0.1289,-0.1124,-0.17368,-0.1753,-0.20355,-0.09401,3.14623,-0.15927,2.43451,-0.51986,2.09818,-0.92396,2.71145,-2.20293,-0.1787,-0.22505,2.15743,0.28545,3.10924,-0.22454,-0.9666,-0.1838,-0.15997,-0.13022,-2.92811,-0.19801,0.11168,-0.19169,-1.01935,-0.09116,-0.75649,-0.55375,-0.5874,-0.28071,-0.21525,-1.37449,-0.30461,-0.16336,7.48821,0.03552,1.2783,-0.23907,-0.24428,3.1708,0.04699,-0.21825,-0.30108,-0.2616,-0.10657,-1.19773,0.36397,-2.38013,-1.51588,1.63858,-2.87678,-1.11189,-1.13019,-0.19529,-0.54501,-0.202,-1.36951,-0.17942,3.95105,-1.70381,0
negative27,-0.12453,4.30927,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,1.12475,0.93063,-0.92396,1.43242,0.72349,-0.22045,-0.24832,6e-05,-0.31975,0.00584,-0.22454,0.35232,-0.1838,-0.17764,-0.21124,-1.64616,-0.24955,0.93324,-0.19169,-1.01935,-0.11703,0.31213,-1.44303,-0.77343,-0.28071,-0.21525,-1.19644,-0.30461,-0.19193,-0.2232,0.35556,0.67654,-0.23907,-0.24428,-0.59064,-1.4241,1.4206,0.61705,-0.2726,-0.10657,1.30678,-0.1994,-0.14673,-0.35463,2.18512,-0.54913,-0.81334,0.06905,-0.26272,0.05573,-0.202,0.73019,-0.27646,-0.15406,0.14996,0
negative28,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,2.43451,-0.51986,0.69712,0.4168,-0.35822,-2.42804,-0.22045,-0.24832,1.85979,1.94407,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,0.77886,-0.24955,-0.16218,-0.19169,-1.01935,-0.11703,-0.75649,0.33553,-0.77343,-0.28071,-0.21525,4.6208,-0.30461,-0.19193,-0.2232,5.19395,0.0213,-0.23907,-0.24428,1.29008,-0.71757,-0.30316,-1.83367,-0.2726,-0.10657,0.90511,-0.3263,-1.83232,-0.93526,-1.27567,0.32559,0.43667,0.05182,-0.26272,-1.14575,-0.202,0.73019,-0.27646,-0.15406,-1.70381,0
negative29,-0.15139,-0.2115,3.60851,-0.18553,-0.12959,-0.13792,-0.15284,-0.13859,-0.26055,-0.20274,-0.28438,-0.18713,-0.28828,-0.26077,0.23702,-0.51986,0.66527,1.36334,-0.07916,0.19141,3.54094,-0.2747,0.21125,0.80296,0.24611,-0.22454,-0.05911,3.68079,4.63735,3.39283,1.16434,-0.30799,-0.85927,-0.19169,0.95056,-0.14637,-0.75649,1.72605,-0.89181,-0.28071,-0.21525,-1.26562,-0.30461,-0.22432,-0.2232,-0.01547,0.00794,-0.23907,-0.24428,-0.59064,-0.42391,0.22868,-0.30925,2.72539,-0.10657,-0.60628,1.11779,2.25523,-1.1288,0.54352,0.45052,-1.18539,1.00226,-0.33917,-0.59962,-0.202,-1.36951,2.56465,-0.19816,0.48904,0
negative30,-0.09535,-0.17971,-0.19986,-0.14297,-0.05013,-0.07589,-0.1263,-0.10956,-0.16426,-0.17232,-0.19478,-0.08391,-0.1211,-0.14827,-2.24402,4.10673,0.15226,-0.92396,0.57974,1.62393,-0.16905,-0.21967,-0.74015,1.54885,-0.79504,-0.22454,-0.03893,-0.1838,-0.15588,-0.11148,-1.8213,-0.18609,2.21124,-0.19169,-1.01935,-0.08517,0.36224,-1.5616,-0.52539,-0.28071,-0.21525,-0.55561,-0.30461,-0.15675,-0.2232,0.09052,-0.12341,-0.23907,-0.24428,4.11116,1.0249,0.30212,-0.1933,-0.25906,-0.10657,-1.56623,-1.84271,-2.00088,-0.49979,1.75977,-3.82804,-0.28523,0.98773,-0.17969,0.18923,-0.202,0.73019,-0.15697,-0.10615,0.10579,0
